tier,id,name,brand,subBrand,pitchKey,archetype,displayPriority,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail
silver,s8,Kendall Firm Euro Top,Restonic,ComfortCare,,Zoned firm euro-top hybrid,1,7,Firm,,,Marvelous Middle|Firm|Euro Top,,yes,firm|support|zoned|hybrid,,,,,,,,,,Zoned firm support with a euro-top finish — firm without feeling bare.,Euro-top over firm coils,A sewn-under cushion layer takes the edge off a true firm feel.,Thicker center-third coils,Restonic's signature zoning holds hips level where beds break down first.
silver,s9,Kendall Luxury Medium,Restonic,ComfortCare,,Motion-isolating medium hybrid,1,5,Medium,,,Hybrid|Medium|Motion Isolation,Conforming luxury medium that stays still all night,yes,medium|motionIsolation|pressureRelief|hybrid|support,,,,,,,,,Layers of conforming foam over wrapped coils — balanced medium comfort that absorbs a partner's movement.,,Wrapped-coil motion isolation,,Conforming comfort layers,Foam layers contour without the deep sink of memory-foam beds.
silver,s10,Kendall Extra Firm,Restonic,ComfortCare,,Zoned extra-firm hybrid,1,8,Extra Firm,,,Marvelous Middle|Extra Firm|Tight Top,Extra-firm zoned support at a working price,yes,firm|support|zoned|hybrid|durability,,,,,,,,,,,Extra-firm tight top,"A flat, supportive surface with no plush give — for sleepers who want solid.",Zoned center support,Thicker center coils protect the firm feel from early body impressions.
bronze,b1,Giselle Plush,Restonic,Giselle,,Everyday plush comfort,1,3,Plush,,,Plush|12.5-Inch|Value,"Soft, welcoming plush at an everyday price",yes,plush|soft|pressureRelief,,,,,,,,,A 12.5-inch plush build that cushions shoulders and hips — easy softness at a price that makes sense.,,True plush surface,Softer than the Gracie — made for sleepers who want cushion first.,Everyday value,Restonic quality without the Platinum price.
bronze,b2,Giselle Firm,Restonic,Giselle,,Everyday firm support,1,7,Firm,,,Firm|12.5-Inch|Value,Straightforward firm support at an everyday price,yes,firm|support|durability,,,,,,,,,A no-nonsense 12.5-inch firm that keeps your spine aligned — dependable support night after night.,Dependable firm alignment at an everyday price.,Straightforward firm feel,Solid support without plush layers softening the surface.,Everyday value,The affordable path to a true firm mattress.
bronze,b3,Genesis Euro Top,Genesis,Kingdom Mattress,,USA-engineered family hybrid,2,5,Medium,,,Hybrid|Euro Top|Made in USA,"Family-built euro-top hybrid, engineered in the USA",no,medium|hybrid|support|durability|pressureRelief,,,,,,,,,Thirty years of Kingdom Mattress family know-how in a euro-top hybrid engineered entirely in the USA.,A family-company euro-top hybrid built to take years of real life.,Euro-top comfort layer,A cushioned top the plain Genesis Firm doesn't have.,Built-to-last engineering,Designed by a 30-year family company for durability first.
bronze,b4,Genesis Firm,Genesis,Kingdom Mattress,,USA-engineered firm value,2,7,Firm,,,Hybrid|Firm|Made in USA,Firm family-built hybrid at the best value,no,firm|hybrid|support|durability,,,,,,,,,A firm hybrid engineered entirely in the USA by a 30-year family company — solid support at the best value in the store.,"Firm hybrid support, family-built and priced to make sense.",Firm hybrid core,Coil support with a firm surface — more responsive than foam value beds.,Best-value firm,The most affordable true firm hybrid in the lineup.
bronze,b5,Angelina Plush,Restonic,ComfortCare,,Zoned plush for side sleepers,1,3,Plush,,,Marvelous Middle|Plush|Side Sleeper,,yes,plush|soft|pressureRelief|zoned,,,,,,,,,,,,,3-inch edge encasement,High-density foam rails give a bigger usable sleep surface than value plush beds.
bronze,b6,Angelina Extra Firm,Restonic,ComfortCare,,Zoned extra-firm value hybrid,1,8,Extra Firm,,,Marvelous Middle|Extra Firm|Hybrid,Extra-firm hybrid support at a value price,yes,firm|support|zoned|hybrid,,,,,,,,,,The value path to real extra-firm zoned support.,Value extra-firm,The firmest feel in the bronze tier — no plush give at all.,Zoned hybrid core,Center-third reinforcement most value firm beds skip.
bronze,b7,Gracie Medium,Restonic,Grace,,Everyday balanced innerspring,1,5,Medium,,,Innerspring|Medium|Best Value,Balanced medium comfort at the friendliest price,yes,medium|support|zoned|responsive,,,,,,,,,A balanced medium innerspring with Restonic's thicker center coils — real quality at the friendliest price in the store.,Easy balanced comfort with zoned support — the smart starter pick.,Responsive innerspring feel,Classic coil bounce that's easy to move on — no stuck-in-foam feeling.,Friendliest price,The most affordable way into a zoned Restonic build.
